body,url,video
"[id71168856|Никита Фоминов] приглашает всех желающих в УРАМ на соревнования ""Star и Mlad"", которые пройдут 13 апреля!

В категории ""Млад"" участвуют ребятки с 5 до 14 лет в формате обычного контеста, а в категории ""Стар"" мужчины постарше смогут получить деньги за трюки на рези фанбоксе во время квалификации, а также сорвать куш даже за падение!

Естественно, будут крупные денежные призы и за первые три места!

Регистрация по ссылочке внизу! 👇👇👇",,https://i.mycdn.me/getVideoPreview?id=6122350054082&idx=3&type=32&tkn=rCyHhTFb2HtsPmWXw0JBYxUj9pQ
"#MustSee
#Myaso

Деннис Инерсон — один из атлантов, которые держат мир BMX на своих здоровенных плечах. Кажется, этот парень ест риск и адреналин на обед, а запивает растительным молоком из чистых лошадиных сил — так быстро он летает по спотам.

Шедеврально.",,https://i.mycdn.me/getVideoPreview?id=6125536479778&idx=0&type=39&tkn=AjCz2FIsyrGU71rDpI0_8XvCF1E&fn=vid_f
"#MustSee

Максим Орсини с отличным парковым наклепом с берегов Франции",,https://i.mycdn.me/getVideoPreview?id=6410289809941&idx=0&type=39&tkn=BiUwwz9cYKI6qLHJeTy8hRUuUlw&fn=vid_f
Дилан Хессей теперь катается за Monster Energy,,https://i.mycdn.me/getVideoPreview?id=6135947528859&idx=0&type=39&tkn=icya1fDGiXq-a2iOpeItLt3azZg&fn=vid_f
Кори Уолш катается в огромной бетонной чаше в Мексике на берегу океана. Адок!,,https://i.mycdn.me/getVideoPreview?id=6454944336432&idx=0&type=39&tkn=2yOOG4-uttkx4D3Qr0cCihX45UE&fn=vid_f
"Тайлер Мэннинг бросил кататься, но на прощание собрал такое видео за 10 лет катания",,https://i.mycdn.me/getVideoPreview?id=6459980646992&idx=0&type=39&tkn=1uin-hZ1YS81OzKkeYCc3QF0qI4&fn=vid_f
Большое видео от магазина Entity,,https://i.mycdn.me/getVideoPreview?id=6171612940902&idx=0&type=39&tkn=82Y2JyPHiI19RAPMkeRHmAo4DSo&fn=vid_f
"#MustSee
#Myaso

Офигенный отчет с джема Colony, который совсем недавно прошел на рампах бренда. Кататься захотелось!",,https://i.mycdn.me/getVideoPreview?id=6427888716493&idx=0&type=39&tkn=LW6DvWVD7uuKuKJsnviGODeFKJk&fn=vid_f
А так прошел джем What's Hannin,,https://i.mycdn.me/getVideoPreview?id=6482757552883&idx=0&type=39&tkn=HPS4UPOKObXbFwot8nKRmnlymSM&fn=vid_f
"Отчет со стритового джема в Фениксе, Аризона. Мяса навалили!",,https://i.mycdn.me/getVideoPreview?id=6256667658984&idx=0&type=39&tkn=RGK1ZZK8LsUgL_oh6PHXapDLxMQ&fn=vid_f
Энди Лиман раздает в Новой Зеландии,,https://i.mycdn.me/getVideoPreview?id=6138060933789&idx=0&type=39&tkn=wFizNd4id1dnQLkYvULzsy6yBkY&fn=vid_f
"#MustSee
#Myaso

Ден Лейси против улиц. 1:0.

Шедевр.",,https://i.mycdn.me/getVideoPreview?id=6447555152494&idx=0&type=39&tkn=MYD6anRZWbafFJQ8gDR99RtelZ0&fn=vid_f
"https://www.change.org/p/%D0%BF%D0%B5%D1%82%D0%B8%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE-%D1%81%D0%BA%D0%B5%D0%B9%D1%82-%D0%BF%D0%B0%D1%80%D0%BA%D0%B0-%D0%B2-%D1%82%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2%D0%B5?recruiter=false&utm_source=share_petition&utm_medium=vk&shareType=vk&use_react=false&utm_campaign=psf_combo_share_message&utm_term=share_petition&recruited_by_id=423b59a0-e5f8-11ee-ac6f-dfe741c30cb6&share_bandit_exp=message-37937873-ru-RU 
Пацаны! Обращаюсь к вам от всего Тамбова за помощью. Подпишите пожалуйста петицию для постройки парка! Будем рассчитывать на вашу помощь .Всем заранее спасибо!",,
Финалиссимо,,https://i.mycdn.me/getVideoPreview?id=6469741382355&idx=0&type=39&tkn=kXXVvnxf3LxiJPVGxs8c4MxgHm0&fn=vid_f
"Вдохновляющая история Скотти Кранмера, раскрывающая историю его серьезной травмы",,https://i.mycdn.me/getVideoPreview?id=6439672482350&idx=0&type=39&tkn=4oU7I-vvHyix1Km1tEOp1KMEyLg&fn=vid_f
5 апреля играем в новый Pipe,,https://i.mycdn.me/getVideoPreview?id=6462380575282&idx=0&type=39&tkn=PFi-5CV4DMhkN6T6ROMkSX1dbkY&fn=vid_f
"Пераза, Жанжан, Сендовал и масса других раздают на красивых дертах в ЮАР",,https://i.mycdn.me/getVideoPreview?id=6505742535185&idx=0&type=39&tkn=nAwAgXutMOdkyxf-kg1fpXAjaZg&fn=vid_f
Рыжий против кубинца,,https://i.mycdn.me/getVideoPreview?id=6111062985469&idx=0&type=39&tkn=cyOaWDui7va5QvCRG-QJnit6Yos&fn=vid_f
Промо новых тапочек от Etnies и Джордана Гадвина,,https://i.mycdn.me/getVideoPreview?id=6107398802044&idx=0&type=39&tkn=aYPfklF5_ThVRdgY5wrUIO4ZkfA&fn=vid_f
Брендон Лоупос на раздаче в Австралии. Красота!,,https://i.mycdn.me/getVideoPreview?id=6074425543237&idx=0&type=39&tkn=Qo_PFoSAfcDjhN9ZYBm7G2h4BF4&fn=vid_f
